RAZÃO SOCIAL;NOME FANTASIA;CNPJ;NATUREZA JURIDICA;DATA INICIO OPERAÇÃO;PORTE;SITUAÇÃO;TIPO ATIVIDADE;SUBTIPO ATIVIDADE;CEP;UF;LOCALIDADE;BAIRRO;LOGRADOURO;TELEFONE;FAX;E-MAIL2;E-MAIL3;SITE;DATA GERAÇÃO CERTIFICADO;DATA VALIDADE CERTIFICADO;CÓDIGO CERTIFICADO;CÓDIGO E DESCRIÇÃO CNAE;ÁREA TOTAL DO ESTABELECIMENTO;AMBIENTAÇÃO;VOLUME DE ÁGUA;ESTRUTURA;LINGUAS;SERVIÇOS
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS LTDA;04.933.060/0007-03;Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;3314030;SP;São Paulo;Tatuapé;RUA MELO FREIRE, S/N - PISO SUPERIOR;(11) 2244-6321;(11) 2244-6272;claudia.paiva@playcenter.com.br;;;2015-06-19 15:41:06.712;2017-06-19;26.010948.65.0007-5;"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";741;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS LTDA;04.933.060/0008-94;Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;9080500;SP;Santo André;Jardim;AV INDUSTRIAL, N°: 600;(11) 2244-6321;(11) 2244-6272;claudia.paiva@playcenter.com.br;;;2015-06-22 13:21:44.05;2017-06-22;26.010951.65.0008-8;"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";1,000;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS LTDA;04.933.060/0009-75;Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;3527000;SP;São Paulo;Vila Aricanduva;AV ARICADUVA, N°: 5555 - ARCO S;(11) 2244-6321;(11) 2244-6272;claudia.paiva@playcenter.com.br;;;2015-06-22 13:27:02.142;2017-06-22;26.010952.65.0009-2;"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Secundário)";2,016;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS LTDA;04.933.060/0011-90;Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;5003020;SP;São Paulo;Água Branca;"AV ANTARTICA, 380 -ARCO 4210; PAVMTO 3; BLOCO B;";(11) 2244-6321;(11) 2244-6272;claudia.paiva@playcenter.com.br;;;2015-06-19 15:32:54.293;2017-06-19;26.010947.65.0011-2;"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";482;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS LTDA;04.933.060/0014-32;Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;5402600;SP;São Paulo;Pinheiros;AV REBOUCAS, 3970;(11) 2244-6321;;claudia.paiva@playcenter.com.br;;;2015-06-19 15:27:12.848;2017-06-19;26.010946.65.0014-7;"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";1,209;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS LTDA;04.933.060/0015-13;Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;88032005;SC;Florianópolis;Saco Grande;ROD JOSE CARLOS DAUX. 3116, LJ 213, NIVEL L2, FLORIPA SHOPPING;(11) 2244-6321;(11) 2244-6272;claudia.paiva@playcenter.com.br;;;2015-06-10 16:58:02.25;2017-06-10;24.010945.65.0015-3;9329-8/04-EXPLORAÇÃO DE JOGOS ELETRÔNICOS RECREATIVOS (Primário);552;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
PLAY ONE EMPREENDIMENTOS LTDA.;PLAY ONE EMPREENDIMENTOS LTDA.;04.933.060/0003-80;Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;9190210;SP;Santo André;Paraíso;"AV PEREIRA BARRETO, 42 - LOJA 12;";(11) 2244-6321;(11) 2244-6272;claudia.paiva@playcenter.com.br;beatriz.jesus@grupoaguia.com.br;;2015-06-26 11:31:49.724;2017-06-26;26.010955.65.0003-0;"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";810;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
PLAY ONE EMPREENDIMENTOS LTDA.;PLAY ONE EMPREENDIMENTOS LTDA.;04.933.060/0010-09;Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;9750700;SP;São Bernardo do Campo;Jardim do Mar;PC SAMUEL SABATINI, 200 - LOJA 112;(11) 2244-6321;(11) 2244-6272;claudia.paiva@playcenter.com.br;beatriz.jesus@grupoaguia.com.br;;2015-06-26 12:02:53.322;2017-06-26;26.010956.65.0010-4;"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";636;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
PLAYLAND ENTRETENIMENTO LTDA;PLAYLAND ENTRETENIMENTO;03.384.835/0030-15;Sociedade Empresária;;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;32110005;MG;Contagem;Ressaca;"AV. SEVERINO BALLESTEROS RODRIGUES,850 LJ:LUC3002A; L:3";(11) 2244-6321;;claudia.paiva@playcenter.com.br;;;2014-08-11 13:06:47.998;2016-08-11;11.010961.65.0030-0;9329-8/04-EXPLORAÇÃO DE JOGOS ELETRÔNICOS RECREATIVOS (Secundário);10,759;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
PLAYLAND ENTRETENIMENTO LTDA;PLAYLAND ENTRETENIMENTO LTDA;03.384.835/0001-80;Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;1139020;SP;São Paulo;Várzea da Barra Funda;"R INHAUMA, N°: 263;";(11) 2244-6321;;claudia.paiva@playcenter.com.br;;;2014-07-31 11:16:44.276;2016-07-31;26.010960.65.0001-6;9329-8/04-EXPLORAÇÃO DE JOGOS ELETRÔNICOS RECREATIVOS (Primário);1,207;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
ROMA HOTEIS E REALIZAÇÕES  LTDA;ROMA  HOTEIS;00.071.556/0001-79;Sociedade Empresária;29/04/1996;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;75690000;GO;Caldas Novas;Caldas Novas;AV SANTO AMARO Nº 1600;(64) 3453-1553;(64) 3453-1761;reservas@diroma.com.br;;WWW.DIROMA.COM.BR;2016-08-15 12:32:12.551;2018-08-15;09.018807.65.0001-3;"5510-8/01-HOTEL (Primário), 9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Secundário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";2,750;;5,000;<UnknownType (2,002)>;<UnknownType (2,002)>;
ROWAN MARKETING LTDA ME;ROWAN;10.720.570/0001-00;Sociedade Empresária;06/04/2009;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Empreendimento de Entretenimento e Lazer;74125030;GO;Goiânia;Setor Oeste;RUA R-2 N° 303 QD. R-3, LT.16, 2° ANDAR;(62) 3291-3400;(62) 3291-1800;pahedra@rowanmkt.com;;www.ROWANMKT.COM;2014-08-19 17:05:30.664;2016-08-19;09.030028.65.0001-0;"9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Secundário)";5,694;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
W.PALMERSTON & TAVARES EMPREENDIMENTOS TURISTICOS LTDA;NAUTICO PRAIA CLUBE;05.513.549/0001-01;Sociedade Empresária;01/07/2003;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;75690000;GO;Caldas Novas;Caldas Novas;AV CAMINHO DO LAGO GLEBA A.1 - BAIRRO FAZ ST° ANT° DAS LAGES;(64) 3455-9100;;atendimento@nauticopraiaclube.com.br;;WWW.NAUTICOPRAIACLUBE.COM.BR;2015-10-28 09:38:41.686;2017-10-28;09.057674.65.0001-5;"5611-2/01-RESTAURANTES E SIMILARES (Primário), 9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Secundário), 5510-8/01-HOTEL (Secundário)";25,000;;150,000;<UnknownType (2,002)>;<UnknownType (2,002)>;
WILDERLANE DE FREITAS OLIVEIRA-ME;ARENA-JOGOS E DIVERSÃO;22.774.331/0001-11;Empresário Individual (Não MEI);;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;58200000;PB;Guarabira;Guarabira;RUA OTACILIO LIRA CABRAL, 1300, BAIRRO AREIA BRANCA;(83) 99148-1020;;arnoudneto@guaraves.com.br;;;2015-09-02 16:07:43.52;2017-09-02;15.073239.65.0001-7;"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";198;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
