"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"DATA GERAÇÃO CERTIFICADO";"DATA VALIDADE CERTIFICADO";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"LINGUAS";"QUANTIDADE"
"ANDRADE & ALMEIDA TRANSPORTES E TURISMO LTDA.";"PHTUR";"12.831.743/0001-92";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";57046700;"AL";"Maceió";"Serraria";"RUA PROJETADA LOTEAMENTO CARAJAS II QD. G LOTE  03";"(82) 3328-3801";"";"henrique.m.andrade@hotmail.com";"";"";"08/06/2015";"08/06/2017";"02.039938.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Secundário)";"(""Inglês,Espanhol"")";12
"ANDRE DE OLIVEIRA MACHADO - ME";"SLAMTUR TRANSPORTES E LOCACAO";"07.094.523/0001-93";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";9260770;"SP";"Santo André";"Parque Novo Oratório";"R. OSORIO DUQUE ESTRADA, 59";"(11) 2677-8484";"";"slamtur@hotmail.com";"";"";"11/01/2016";"11/01/2018";"26.076062.85.0001-7";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(""Nenhuma das Opções"")";4
"ANDREIA ADRIANA DUARTE BALTA - ME";"TRANSPANTANAL";"20.737.654/0001-00";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";79290000;"MS";"Bonito";"Bonito";"RUA CEL PILAD REBUA, 1376";"(67) 9904-4433";"";"adrianabalta@hotmail.com";"";"";"20/08/2014";"20/08/2016";"12.065653.85.0001-4";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(Espanhol)";1
"ANGULAR SERVIÇOS E TRANSPORTES EIRELI -ME";"ANGULAR TRANSPORTES";"20.411.545/0001-06";"Empresa Individual (EIRELI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";49035180;"SE";"Aracaju";"Atalaia";"R.CEL.JOSE FIGUEIREDO DE ALBUQUERQUE Nº2351 LOJA A";"(79) 9994-8230";"(79) 3023-8230";"transportesangular@gmail.com";"";"";"03/08/2015";"03/08/2017";"25.072572.85.0001-0";"4929-9/01-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL (Primário), 7711-0/00-LOCADORA DE AUTOS (Secundário)";"(""Nenhuma das Opções"")";2
"ANHANGUERA EXPRESS TRANSPORTES LTDA";"ANHANGUERA EXPRESS";"13.994.684/0001-36";"Sociedade Simples";"";"Empresa de Pequeno Porte";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";25845000;"RJ";"Areal";"Areal";"RUA JOAO PEDRO DA SILVEIRA, N. 256 CENTRO ";"(24) 2257-1132";"(24) 2257-1132";"adrianevsouza@yahoo.com.br";"vcunha04@hotmail.com";"www.anhangueraexpress.com.br";"22/07/2014";"22/07/2016";"19.064953.85.0001-9";"7711-0/00-LOCADORA DE AUTOS (Secundário)";"(""Nenhuma das Opções"")";2
"ANIZIO A. SILVA FILHO LOCADORA DE VEICULOS-ME";"NEGRO´S LOC SERVICE ";"19.353.679/0001-20";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";20270001;"RJ";"Rio de Janeiro";"Praça da Bandeira";"RUA MARIZ E BARROS 470 APT 511";"(21) 2252-3614";"";"anizioaraujo@hotamail.com";"";"";"01/03/2016";"01/03/2018";"19.076959.85.0001-5";"7719-5/99-TRAILERS SEM CONDUTOR; LOCAÇÃO DE, ALUGUEL DE (Primário)";"(""Inglês,Russo,Mandarim,Espanhol,Alemão,Italiano,Japonês,Francês"")";2
"ANJOS MARTINS E ANJOS DA COSTA LTDA";"L MARTINS RENT A CAR";"20.675.929/0001-28";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";78015100;"MT";"Cuiabá";"Dom Aquino";"AV. MIGUEL SUTIL, 233 FD";"(65) 2136-8637";"";"martins_rentcar@gmail.com";"";"";"13/11/2014";"13/11/2016";"13.067536.85.0001-9";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"("""")";4
"ANJOS MARTINS E ANJOS DA COSTA LTDA";"L MARTINS RENT A CAR";"20.675.929/0001-28";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";78015100;"MT";"Cuiabá";"Dom Aquino";"AV. MIGUEL SUTIL, 233 FD";"(65) 2136-8637";"";"martins_rentcar@gmail.com";"";"";"13/11/2014";"13/11/2016";"13.067536.85.0001-9";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"("""")";16
"ANTONIA DE ALMEIDA - ME";"MAMORE TRANSPORTES";"11.443.571/0001-17";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";79290000;"MS";"Bonito";"Bonito";"RUA GAL OZORIO, 444";"(67) 8469-4810";"";"naoteemail@gmail.com";"";"";"31/07/2014";"31/07/2016";"12.065162.85.0001-6";"7711-0/00-LOCADORA DE CARROS (Secundário)";"(Espanhol)";1
"ANTONIO CARLOS DOS SANTOS SILVA - ME";"REAL ";"13.302.111/0001-02";"Empresário Individual (Não MEI)";"";"Empresa de Pequeno Porte";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";39470000;"MG";"Itacarambi";"Itacarambi";"RUA AMAZONAS, 860";"(38) 9109-2607";"(38) 9109-2607";"realtur@yahoo.com.br";"";"";"07/11/2014";"07/11/2016";"11.048212.85.0001-4";"4929-9/02-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS. SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL (Secundário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário), 4923-0/02-ALUGUEL DE AUTOMÓVEIS COM MOTORISTA, MUNICIPAL (Secundário)";"(""Nenhuma das Opções"")";1
"ANTONIO GERALDO CAMPOS VASCONCELOS - ME";"VASCTUR LOCACAO E TRANSPORTES RODOVIÁRIOS";"13.837.981/0001-78";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";35720000;"MG";"Matozinhos";"Matozinhos";"AV CAIO MARTINS 409, A";"(31) 3712-6506";"";"vasctur@gmail.co.br";"";"";"02/07/2015";"02/07/2017";"11.071908.85.0001-9";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";2
"ANTONIO PINHEIRO DE SOUZA - ME";"SOUZA CAR";"02.803.885/0001-92";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";95840000;"RS";"Triunfo";"Triunfo";"R BERNARDINO SENA 147";"(51) 8149-0710";"(51) 3654-1374";"souzacartfrs@hotmail.com";"";"";"22/02/2016";"22/02/2018";"23.076781.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(""Nenhuma das Opções"")";1
"ANTONIO RICARDO MARTINS ME";"LL TRANSPORTES";"06.256.766/0001-18";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";38401574;"MG";"Uberlândia";"Vila Maria";"RUA 21 DE ABRIL 1432";"(34) 3255-8951";"(34) 9966-0796";"ricardomartins70@yahoo.com.br";"";"";"03/11/2015";"03/11/2017";"11.074719.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(""Nenhuma das Opções"")";3
"ANTONIO RODRIGUES DOS SANTOS - LOCAÇÃO E TRANSPORTES - ME";"A.R. VANS SERVIÇOS LOCAÇÃO E TRANSPORTE";"75.042.762/0001-50";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";82015630;"PR";"Curitiba";"Santa Felicidade";"RUA JOSÉ TOMASI, 319";"(41) 3374-2206";"";"arvanslocacoeseturismo@gmail.com";"";"";"10/12/2014";"10/12/2016";"18.049280.85.0001-1";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4929-9/02-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS. SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL (Secundário), 4929-9/01-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL (Secundário)";"(""Nenhuma das Opções"")";1
"ANTUNES E SOUZA LTDA - ME";"LOCFACIL LOCADORA DE VEÍCULOS";"09.633.114/0001-43";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";47802200;"BA";"Barreiras";"Sandra Regina";"RUA FOLK ROCHA, 167 - ";"(77) 3613-3500";"";"gerdeantunes@hotmail.com";"";"www.locadoralocfacil.com.br";"21/03/2016";"21/03/2018";"05.077463.85.0001-7";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";2
"ANTUNES E SOUZA LTDA - ME";"LOCFACIL LOCADORA DE VEÍCULOS";"09.633.114/0001-43";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";47802200;"BA";"Barreiras";"Sandra Regina";"RUA FOLK ROCHA, 167 - ";"(77) 3613-3500";"";"gerdeantunes@hotmail.com";"";"www.locadoralocfacil.com.br";"21/03/2016";"21/03/2018";"05.077463.85.0001-7";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";5
"ANTUNES E SOUZA LTDA - ME";"LOCFACIL LOCADORA DE VEÍCULOS";"09.633.114/0001-43";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";47802200;"BA";"Barreiras";"Sandra Regina";"RUA FOLK ROCHA, 167 - ";"(77) 3613-3500";"";"gerdeantunes@hotmail.com";"";"www.locadoralocfacil.com.br";"21/03/2016";"21/03/2018";"05.077463.85.0001-7";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";25
"ANTUNES TURISMO  LTDA";"ANTUNES TURISMO";"07.467.164/0001-72";"Sociedade Empresária";"29/06/2005";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";35430141;"MG";"Ponte Nova";"Triângulo";"RUA ERNESTO TRIVELLATO, 88                         ";"(31) 3881-3553";"";"antunesturismo@hotmail.com";"";"";"22/03/2016";"22/03/2018";"11.077475.85.0001-1";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(""Nenhuma das Opções"")";3
"APARECIDO J. DA SILVA LOCAÇÕES - ME";"APARECIDO J. DA SILVA LOCAÇÕES - ME ";"08.781.795/0001-24";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";4105061;"SP";"São Paulo";"Vila Mariana";"R TOPAZIO, N°: 748 - APT A-3, AP 36";"(11) 3938-7718";"";"aparecidojoselocacao@gmail.com";"";"";"19/02/2015";"19/02/2017";"26.069168.85.0001-6";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(""Inglês,Italiano,Espanhol"")";1
"APARECIDO J. DA SILVA LOCAÇÕES - ME";"APARECIDO J. DA SILVA LOCAÇÕES - ME ";"08.781.795/0001-24";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";4105061;"SP";"São Paulo";"Vila Mariana";"R TOPAZIO, N°: 748 - APT A-3, AP 36";"(11) 3938-7718";"";"aparecidojoselocacao@gmail.com";"";"";"19/02/2015";"19/02/2017";"26.069168.85.0001-6";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(""Inglês,Italiano,Espanhol"")";4
"APOIO LOCADORA DE VEICULOS LTDA";"APOIO LOCADORA";"11.516.423/0001-85";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";29122100;"ES";"Vila Velha";"Glória";"RUA MESTRE GOMES, 30";"(27) 3045-5840";"";"michele@apoiolocadora.com";"apoiolocadora@hotmail.com";"www.apoiolocadora.com";"08/05/2014";"08/05/2016";"08.063222.85.0001-7";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Inglês,Espanhol"")";4
"APOLLO LOCAÇÃO DE TRANSPORTE E TURISMO LTDA - ME";"APOLLO TRANSPORTE";"14.617.497/0002-87";"Sociedade Empresária";"23/09/2000";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";21250300;"RJ";"Rio de Janeiro";"Cordovil";"PC TREZE DE JUNHO, N° 115";"(21) 3762-1868";"";"e_sferreira@hotmail.com";"";"";"27/11/2015";"27/11/2017";"19.075335.85.0002-3";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";2
"AR TRANSPORTES LTDA";"AR TRANSPORTES LTDA";"17.185.681/0001-02";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";73091900;"DF";"Sobradinho";"Setor Habitacional Contagem";"COND MORADA DOS NOBRES QD 3B C 10";"(61) 4141-8471";"(61) 9835-7599";"arthurbrasilia@gmail.com";"alineoliveirabrasil@gmail.com";"";"19/05/2014";"19/05/2016";"07.063440.85.0001-4";"7711-0/00-LOCADORA DE CARROS (Primário), 4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Secundário)";"(""Nenhuma das Opções"")";2
"ARAUJO & BONFIM LTDA - ME";"YES ALUGUEL DE CARROS NOVA ANDRADINA";"03.367.215/0001-33";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";79750000;"MS";"Nova Andradina";"Nova Andradina";"AV. EURICO SOARES DE ANDRADE, 570 - CENTRO";"(67) 3441-2899";"(67) 9978-4777";"dersonfinasa@bol.com.br";"novaandradina.yesrentacar@gmail.com";"";"29/04/2016";"29/04/2018";"12.062698.85.0001-2";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(Inglês)";15
"ARCAN LOCADORA DE VEÍCULOS LTDA";"ARCAN LOCADORA DE VEÍCULOS LTDA";"17.497.058/0001-95";"Sociedade Empresária";"05/04/1971";"Empresa de Médio ou Grande Porte";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";31310110;"MG";"Belo Horizonte";"Ouro Preto";"RUA DOUTOR GERALDO ZOLA MESQUITA 120";"(31) 3441-7048";"(31) 3441-7048";"arcan@arcan.cm.br";"";"WWW.ARCAN.COM.BR";"15/05/2014";"15/05/2016";"11.033017.85.0001-3";"7711-0/00-LOCADORA DE CARROS (Secundário)";"(Inglês)";20
"ARCAN LOCADORA DE VEÍCULOS LTDA";"ARCAN LOCADORA DE VEÍCULOS LTDA";"17.497.058/0001-95";"Sociedade Empresária";"05/04/1971";"Empresa de Médio ou Grande Porte";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";31310110;"MG";"Belo Horizonte";"Ouro Preto";"RUA DOUTOR GERALDO ZOLA MESQUITA 120";"(31) 3441-7048";"(31) 3441-7048";"arcan@arcan.cm.br";"";"WWW.ARCAN.COM.BR";"15/05/2014";"15/05/2016";"11.033017.85.0001-3";"7711-0/00-LOCADORA DE CARROS (Secundário)";"(Inglês)";70
"ARENA RENT A CAR LOCAÇÕES LTDA - ME";"ARENA LOCAÇÃO  DE VEÍCULOS";"11.940.483/0001-20";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";59035010;"RN";"Natal";"Quintas";"RUA COMPOSITOR  JOSÉ LUIZ, 22";"(84) 3302-7618";"";"arenatransporte@bol.com.br";"";"";"06/06/2016";"06/06/2018";"20.061468.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(Inglês)";1
"ARENA VIPS AGENCIA DE VIAGENS E LOCADORA DE VEÍCULOS LTDA-ME";"ARENA VIPS TOUR";"18.286.803/0001-10";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";20261232;"RJ";"Rio de Janeiro";"Rio Comprido";"RUA SANTA ALEXANDRINA, 512";"(21) 7840-1005";"(21) 2502-3758";"asconsultoria@hotmail.com";"feedbacktour@gmail.com";"";"11/02/2016";"11/02/2018";"19.055882.85.0001-6";"7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Primário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(""Inglês,Espanhol"")";9
"ARI TRANSPORTE & LOCAÇÃO LTDA EIRELE - ME";"BORA BORA VIAGENS E TURISMO";"07.840.327/0001-10";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";49760000;"SE";"Rosário do Catete";"Rosário do Catete";"R JOAO FELICIANO DE MENEZES 912 SALA 01 CENTRO";"(79) 3241-1183";"(79) 3241-1183";"atllocadora2012@hotmail.com";"";"";"24/11/2014";"24/11/2016";"25.052004.85.0001-6";"4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Primário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(""Nenhuma das Opções"")";1
"ARIANE FACCHIN ALBUQUERQUE - ME";"A G TRANSPORTES";"18.570.495/0001-50";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";79290000;"MS";"Bonito";"Bonito";"RUA PERCIO SCHAMANN, 793 - CASA 01";"(67) 9127-3792";"(67) 3255-1659";"contecbonito@hotmail.com";"";"";"09/10/2015";"09/10/2017";"12.057303.85.0001-1";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(""Nenhuma das Opções"")";2
"ARILSON VIAGENS E LOCAÇOES LTDA - ME";"ARILSON TOUR";"21.526.715/0001-52";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";49800000;"SE";"Porto da Folha";"Porto da Folha";"RUA LUIZ JOSÉ VALENÇA Nº 279 SALA 1 CENTRO";"(79) 3349-1372";"";"arilsontour@gmail.com";"";"";"30/01/2015";"30/01/2017";"25.068886.85.0001-6";"7711-0/00-LOCADORA DE AUTOS (Primário), 4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Secundário)";"(""Nenhuma das Opções"")";1
"ART CAR VEICULOS EIRELI - EPP";"ART CAR VEICULOS";"23.207.454/0001-33";"Empresa Individual (EIRELI)";"25/02/2007";"Empresa de Pequeno Porte";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";78070200;"MT";"Cuiabá";"Jardim Shangri-La";"AV FERNANDO CORREA DA COSTA, 3430";"(65) 3627-1464";"";"vbparts@hotmail.com";"";"";"21/03/2016";"21/03/2018";"13.077448.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";20
"ASE LOCADORA DE CARROS LTDA ME";"ASE RENT A CAR";"12.292.402/0001-96";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";41100200;"BA";"Salvador";"Pernambués";"RUA FERNANDO ARAUJO GOES, 01/SL 105";"(71) 3487-3000";"(71) 3487-3000";"comercial@aserentacar.com.br";"";"www.aserentacar.com.br";"15/08/2014";"15/08/2016";"05.065557.85.0001-2";"7711-0/00-LOCADORA DE CARROS (Primário)";"(""Nenhuma das Opções"")";12
"ASJ ASSESSORIA TRANSPORTE E CONSTRUÇÃO EIRELI - ME";"ASJ EMPREENDIMENTOS E SERVIÇOS";"16.757.935/0001-57";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";48390000;"BA";"Cardeal da Silva";"Cardeal da Silva";"RUA D, 03 - NOVA PASTORA";"(75) 3456-6027";"(71) 9971-0084";"guto_age@hotmail.com";"";"";"05/10/2015";"05/10/2017";"05.074057.85.0001-4";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário), 4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Secundário)";"(""Inglês,Espanhol"")";5
"ASTECA ASSESSORIA TÉCNICA ADMINISTRATIVA LTDA - ME";"ASTECA";"10.609.244/0001-20";"Sociedade Simples";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";60135100;"CE";"Fortaleza";"Joaquim Távora";"AV. ANTÔNIO SALES, 1317, SALA 101";"(85) 3246-2796";"(85) 3246-2796";"blesserm@gmail.com";"";"";"15/01/2016";"15/01/2018";"06.076158.85.0001-8";"7711-0/00-LOCADORA DE CARROS (Secundário)";"("""")";2
"ATALAIA LOCAÇÃO & TURISMO LTDA - ME";"ATALAIA LOCAÇÃO & TURISMO";"23.436.683/0001-20";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";49160000;"SE";"Nossa Senhora do Socorro";"Nossa Senhora do Socorro";"AVENIDA HUM Nº 200 SALA 19, CENTRO COMERCIAL GRAZIELA BAIRRO DISTRITO CONJUNTO JOÃO ALVES FILHO";"(79) 99914-7604";"";"andersonjunior58@gmail.com";"";"";"25/03/2016";"25/03/2018";"25.077557.85.0001-7";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Secundário), 4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Secundário)";"(""Nenhuma das Opções"")";3
"ÁUDIO VÍDEO STUDIOMS LTDA - ME";"STUDIOMS";"02.553.262/0001-09";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";60530000;"CE";"Fortaleza";"Conjunto Ceará";"RUA 343 A, Nº 123";"(85) 3214-2312";"(85) 3214-2676";"marco-sampaio@uol.com.br";"";"";"06/01/2016";"06/01/2018";"06.075977.85.0001-2";"7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Secundário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário), 7711-0/00-LOCADORA DE AUTOS (Secundário), 7711-0/00-LOCADORA DE CARROS (Secundário), 7911-2/00-INTERMEDIÁRIO NA VENDA DE PASSAGENS AÉREAS (Secundário)";"("""")";1
"AUDIVAN IMPERIAL TRANSPORTE E TURISMO LTDA - ME";"AUDIVAN IMPERIAL";"19.702.515/0001-61";"Empresa Individual (EIRELI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";36033250;"MG";"Juiz de Fora";"Cascatinha";"RUA MIGUEL JOSE MANSUR 20/402";"(32) 8808-8921";"(32) 8808-8921";"jtr.contabilidade@hotmail.com";"";"";"28/01/2015";"28/01/2017";"11.068813.85.0001-1";"4929-9/02-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS. SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL (Secundário), 7711-0/00-LOCADORA DE AUTOS (Secundário)";"(""Nenhuma das Opções"")";1
"AUTO LESTE LTDA - ME";"AUTO LESTE RENTACAR";"09.116.541/0001-54";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";64052445;"PI";"Teresina";"Horto";"AV. HOMERO CASTELO BRANCO Nº 2652";"(86) 3232-6898";"";"fcsantos2@hotmail.com";"";"";"22/12/2015";"22/12/2017";"17.075822.85.0001-1";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Inglês,Espanhol"")";32
"AUTO LOCADORA FARROUPILHA LTDA - ME";"EXCLUSIVA AUTO - LOCADORA";"06.947.128/0001-43";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";95180000;"RS";"Farroupilha";"Farroupilha";"R JULIO DE CASTILHOS 1500 SALA 01";"(54) 3268-4743";"(54) 9933-0826";"valmor@exclusivalocadora.cocm.br";"exclusiva@exclusivalocadora.com.br";"";"20/01/2016";"20/01/2018";"23.076244.85.0001-4";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(Inglês)";20
"AUTO LOCADORA FARROUPILHA LTDA - ME";"EXCLUSIVA AUTO - LOCADORA";"06.947.128/0001-43";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";95180000;"RS";"Farroupilha";"Farroupilha";"R JULIO DE CASTILHOS 1500 SALA 01";"(54) 3268-4743";"(54) 9933-0826";"valmor@exclusivalocadora.cocm.br";"exclusiva@exclusivalocadora.com.br";"";"20/01/2016";"20/01/2018";"23.076244.85.0001-4";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(Inglês)";902
"AUTO LOCADORA TRIANGULO LUZ LTDA - ME";"TRIANGULO LUZ RENT A CAR";"08.459.994/0001-10";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";88102250;"SC";"São José";"Kobrasol";"RUA JOSÉ GONZAGA REGINA LIMA, 310, CONJ 402";"(48) 3357-7687";"";"sergiosoares1313@gmail.com";"";"www.trianguloluz.com.br";"24/02/2016";"24/02/2018";"24.076856.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Inglês,Espanhol"")";2
"AUTO LOCADORA TRIANGULO LUZ LTDA - ME";"TRIANGULO LUZ RENT A CAR";"08.459.994/0001-10";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";88102250;"SC";"São José";"Kobrasol";"RUA JOSÉ GONZAGA REGINA LIMA, 310, CONJ 402";"(48) 3357-7687";"";"sergiosoares1313@gmail.com";"";"www.trianguloluz.com.br";"24/02/2016";"24/02/2018";"24.076856.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Inglês,Espanhol"")";40
"AUTOCUUPER TRANSPORTADORA E SERVIÇOS LTDA-ME";"AUTOCUUPER TRANSPORTADORA E SERVIÇOS";"16.433.330/0001-00";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";21351010;"RJ";"Rio de Janeiro";"Madureira";"RUA MARIA FREITAS Nº96 SALA 404";"(21) 2452-1943";"(21) 2452-1943";"autocooper.rj@gmail.com";"";"www.autocuuper.com.br";"04/04/2014";"04/04/2016";"19.062554.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"("""")";1
