"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"DATA GERAÇÃO CERTIFICADO";"DATA VALIDADE CERTIFICADO";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"CAPACIDADE DE LUGARES";"LINGUAS"
"CHURRASCARIA CARRETÃO LTDA-EPP";"CHURRASCARIA CARRETÃO";"27.475.482/0001-92";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";29176798;"ES";"Serra";"Vista da Serra II";"RODOVIA BR 101, KM 256";"(27) 3251-1560";"";"m.cidapina@hotmail.com";"sc_contabil@yahoo.com.br";"www.churrascariacarretao.com.br";"04/11/2015";"04/11/2017";"08.044231.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";150;"(""Nenhuma das Opções"")"
"CHURRASCARIA DO BOIZINHO LTDA ME";"CHURRASCARIA DO BOIZINHO";"03.515.132/0001-44";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79005000;"MS";"Campo Grande";"Amambaí";"AV AFONSO PENA 1279 C5";"(67) 3383-2572";"(67) 3383-2572";"helina.uechi@bumlai.com.br";"";"";"05/09/2014";"05/09/2016";"12.066036.15.0001-8";"5611-2/01-CHURRASCARIA; SERVIÇO DE ALIMENTAÇÃO (Primário)";140;"(""Nenhuma das Opções"")"
"CHURRASCARIA DO GAUCHO EBERHARDT LTDA ME";"CHURRASCARIA DO GAUCHO";"05.653.389/0001-98";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";72920000;"GO";"Alexânia";"Alexânia";"ROD BR 060 KM 52";"(62) 3336-1487";"";"contabilidadenilta@bol.com.br";"";"";"12/05/2015";"12/05/2017";"09.070782.15.0001-7";"5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário)";115;"(""Inglês,Espanhol"")"
"CHURRASCARIA E POUSADA PITOMBEIRA LTDA - ME";"CHURRASCARIA PITOMBEIRA";"03.145.782/0001-45";"Sociedade Empresária";"12/05/1999";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";63475000;"CE";"Jaguaribe";"Jaguaribe";"ROD BR 116 KM 299, S/N - TÉRREO - CRUZEIRO";"(88) 3522-1272";"(88) 3522-1272";"cppitombeira@hotmail.com";"";"";"21/11/2014";"21/11/2016";"06.033529.15.0001-2";"5510-8/02-APART-HOTEL (USADO COMO HOTEL) (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";157;"(""Nenhuma das Opções"")"
"CHURRASCARIA E RESTAURANTE GUAPORE LTDA - ME";"CHURRASCARIA E RESTAURANTE GUAPORÉ";"15.482.185/0001-95";"Sociedade Empresária";"10/09/1981";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79810050;"MS";"Dourados";"Jardim São Pedro";"RUA HAYEL BOM FAKER, 2410";"(67) 3421-4311";"";"churrasariaguapore@bol.com.br";"";"";"27/08/2014";"27/08/2016";"12.032245.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";250;"(""Nenhuma das Opções"")"
"CHURRASCARIA ESPETTU S NA BRASA";"CHURRASCARIA ESPETTU S NA BRASA";"14.645.721/0001-63";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";75711020;"GO";"Catalão";"Vila Margon";"AV:MARGON N 457 VILA MARGON";"(64) 3411-3659";"";"espettusnabrasa@hotmail.com";"";"";"07/10/2014";"07/10/2016";"09.066701.15.0001-2";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";150;"(""Nenhuma das Opções"")"
"CHURRASCARIA ESTRELA LTDA ME";"CHURRASCARIA ESTRELA";"14.292.585/0001-75";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69908680;"AC";"Rio Branco";"Base";"RUA RUI BARBOSA 470,CENTRO";"(68) 3222-7760";"(68) 3222-7760";"chuestrela@gmail.com";"";"";"17/06/2015";"17/06/2017";"01.040594.15.0001-1";"5611-2/01-RESTAURANTE COM SERVIÇO COMPLETO
 (Primário)";86;"(""Nenhuma das Opções"")"
"CHURRASCARIA GAUCHO FOZ EIRELI - ME";"CHURRASCARIA DO GAUCHO";"08.710.781/0002-09";"Empresa Individual (EIRELI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";85851030;"PR";"Foz do Iguaçu";"Centro";"RUA MARECHAL DEODORO DA FONSECA, 644";"(45) 3025-1473";"";"churrascaria_gaucho@hotmail.com";"";"www.churrascariadogaucho.com.br";"22/05/2015";"22/05/2017";"18.037464.15.0002-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";380;"(Espanhol)"
"CHURRASCARIA GRABADO LTDA - EPP";"CHURRASCARIA GRAMADO";"02.474.574/0001-27";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";74085450;"GO";"Goiânia";"Setor Sul";"RUA 120 Nº180 SETOR SUL";"(62) 3251-8671";"(62) 3281-9966";"fernando@congelcontabilidade.com.br";"";"";"01/12/2015";"01/12/2017";"09.075399.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";300;"(""Nenhuma das Opções"")"
"CHURRASCARIA GRAMADO E GRAMADO EIRELLI - ME";"CHURRASCARIA GRAMADO IV";"12.068.008/0001-79";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";74250325;"GO";"Goiânia";"Jardim América";"AV. T-63 Nº 2167 QD. 365 LT. 02,03 E 05 JARDIM AMERICA";"(62) 4006-5353";"";"fernando@congelcontabilidade.com.br";"";"";"01/12/2015";"01/12/2017";"09.075404.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";200;"(""Nenhuma das Opções"")"
"CHURRASCARIA GUAPORE LTDA";"CHURRASCARIA GAUCHA";"83.325.183/0001-42";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";68537000;"PA";"Canaã dos Carajás";"Canaã dos Carajás";"AVENIDA WEYNE CAVALCANTE S/Nº";"(94) 99262-9887";"";"marquessilvana@yahoo.com.br";"";"";"06/06/2016";"06/06/2018";"14.078949.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";90;"("""")"
"CHURRASCARIA HOTEL TRIANGULO";"HOTEL TRIANGULO";"14.292.452/0001-07";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69908680;"AC";"Rio Branco";"Base";"RUA FRORIANO PEIXOTO 727";"(68) 3224-9206";"(68) 3224-9265";"triangulo@hotmail.com";"";"";"10/04/2015";"10/04/2017";"01.039132.15.0001-4";"5590-6/99-DORMITÓRIO; SERVIÇO DE ALOJAMENTO (Primário), 5611-2/01-A PESO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Secundário)";200;"(""Nenhuma das Opções"")"
"CHURRASCARIA LANCHONETE E LOJA DE CONVENIENCIA JL LTDA";"CHURRASCARIA D. PEDRO";"07.559.872/0001-33";"Sociedade Empresária";"09/08/2005";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";39560000;"MG";"Salinas";"Salinas";"ROD. BR 251, S/N KM 309 - ZONA RURAL ";"(38) 3841-2797";"";"n_contabilidade@yahoo.com.br";"";"";"29/09/2014";"29/09/2016";"11.030983.15.0001-7";"5611-2/03-ALIMENTAÇÃO SEM SERVIÇO COMPLETO; SERVIÇO DE (Secundário)";100;"(""Nenhuma das Opções"")"
"CHURRASCARIA MARONEZI LTDA - EPP";"CHURRASCARIA GRAMADO III";"03.668.086/0001-13";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";74125100;"GO";"Goiânia";"Setor Oeste";"AV. R 9 Nº 43 QD. R - 10 B LT. 10 E SETOR OESTE";"(62) 4006-5353";"";"fernando@congelcontabilidade.com.br";"";"";"01/12/2015";"01/12/2017";"09.075402.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";200;"(""Nenhuma das Opções"")"
"CHURRASCARIA NOVILHO DE OURO LTDA ME";"CHURRASCARIA PAMPAS";"04.027.235/0003-90";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";71218900;"DF";"Guará";"Zona Industrial";"ST SCEE SUL LOTE B PARTE";"(61) 3343-3033";"";"pampa@churrascariapampa.com.br";"";"www.churrascariapampa.com.br";"22/07/2014";"22/07/2016";"07.043849.15.0003-1";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";500;"(""Inglês,Italiano,Espanhol"")"
"CHURRASCARIA SABOR DO SUL LTDA";"CHURRASCARIA SABOR DO SUL";"10.523.012/0002-35";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69909400;"AC";"Rio Branco";"Bosque";"RUA QUINTINO BOCAIUVA,1446,BOSQUE";"(68) 3223-4063";"(68) 3224-2243";"sabordosul@hotmail.com";"";"";"17/06/2015";"17/06/2017";"01.053776.15.0002-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";160;"(Espanhol)"
"CHURRASCARIA SENHOR DO BOMFIM LTDA EPP";"TCHE PICANHA";"09.157.532/0001-01";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";40440360;"BA";"Salvador";"Caminho de Areia";"AV CAMINHO DE AREIA, 153 ";"(71) 3312-9093";"(71) 3313-2876";"gcon.contabil@terra.com.br";"";"";"15/09/2015";"15/09/2017";"05.040526.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";150;"("""")"
"CHURRASCARIA VARANDA VERDE LTDA";"CHURRASCARIA VARANDA VERDE";"21.676.846/0001-16";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";35681160;"MG";"Itaúna";"Graças";"RUA ELIZEU JARDIM, 344, UNIVERSITARIO";"(37) 3241-5825";"";"churrascariavarandaverde@gmail.com";"";"";"28/04/2015";"28/04/2017";"11.039321.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";320;"(Inglês)"
"CICERO XAVIER SILVA & CIA LTDA-ME";"RESTAURANTE CRYSTALL GRILL";"04.296.594/0001-80";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";73850000;"GO";"Cristalina";"Cristalina";"R VISCONDE DE MAUA SN QD: C LT: 17  LOJA 01 ";"(61) 3612-4363";"";"rezende.contador@bol.br";"";"";"09/10/2015";"09/10/2017";"09.074175.15.0001-8";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";104;"(""Nenhuma das Opções"")"
"CINTIA IMPERATRIZ - ME";"CASA DA PIZZA";"09.316.525/0001-05";"Microempreendedor Individual (MEI)";"";"Mei";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";76420000;"GO";"Niquelândia";"Niquelândia";"RUA MINAS GERAIS Nº 85 BAIRRO BELO HORIZONTE";"(62) 3354-1615";"(62) 3354-1516";"mega.contabil33@gmail.com";"";"";"18/02/2016";"18/02/2018";"09.076698.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";56;"(""Nenhuma das Opções"")"
"CINTRA E ALMEIDA LTDA - ME";"CINTRA E ALMEIDA LTDA - ME";"21.490.288/0001-08";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";78049400;"MT";"Cuiabá";"CONDOMÍNIO FLORAIS CUIABÁ RESIDENCIAL";"AV. DAS FLORES, Nº 335, QUADRA 04, SALA 2B";"(65) 9998-1559";"";"flaviodevesa@hotmail.com";"";"";"06/03/2015";"06/03/2017";"13.069472.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";50;"(""Nenhuma das Opções"")"
"CIOCOLATERIA COMÉRCIO DE ALIMENTOS LTDA EPP";"CIOCOLATERIA";"13.497.202/0001-32";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";70276510;"DF";"Brasília";"Asa Sul";"SHCS/CL QUADRA 410 BLOCO A LOJA 13 ";"(61) 3242-6399";"(61) 3442-1027";"rober@cioccolateria.com.br";"cecilia@cioccolateria.com.br";"www.cioccolateria.com.br";"27/03/2015";"27/03/2017";"07.069877.15.0001-6";"5611-2/03-CASA DE DOCES E SALGADOS; SERVIÇO DE ALIMENTAÇÃO (Primário)";24;"(Inglês)"
"CIRANDEIRA BELA POUSADA E TURISMO LTDA - ME";"POUSADA E BALNEARIO CIRANDEIRA BELA AMAZON CABINS";"08.273.637/0001-63";"Sociedade Empresária";"08/10/2006";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69400000;"AM";"Manacapuru";"Manacapuru";" ESTRADA AYRAO, Nº S/N - KM 10 - ZONA RURAL  ";"(92) 98233-5151";"(92) 3213-9608";"contato@cirandeiraamazoncabins.com";"lunnaezanara@hotmail.com";"www.cirandeirabela.com";"12/05/2015";"12/05/2017";"03.025772.15.0001-4";"5510-8/01-HOTEL (Primário), 4929-9/02-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS. SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL (Secundário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";100;"(""Inglês,Espanhol"")"
"CIRLENE BRANDÃO DE MORAES - ME";"KITUTS DE CIRLENE";"19.705.967/0001-05";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79321090;"MS";"Corumbá";"Popular Nova";"RUA RIO GRANDE DO SUL Nº 34";"(67) 3233-3588";"";"politicas.turismo@corumba.ms.gov.br";"";"";"30/09/2015";"30/09/2017";"12.073932.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";70;"(""Nenhuma das Opções"")"
"CJ COMÉRCIO DE ALIMENTOS LTDA -";"JULIETTO";"07.109.353/0001-73";"Sociedade Empresária";"15/10/2004";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";50070010;"PE";"Recife";"Boa Vista";"RUA DO GIRIQUITI, 48 - 3 PAVIMENTO LJ 206";"(81) 3302-5996";"(81) 3302-5994";"julietto@julietto.com.br";"";"WWW.JULIETTO.COM.BR";"15/01/2015";"15/01/2017";"16.038001.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";0;"(""Nenhuma das Opções"")"
"CLARICE BATISTA GOMES EIRELE-ME";"MACROFOOD";"19.964.339/0001-36";"Empresa Individual (EIRELI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";74075110;"GO";"Goiânia";"Setor Aeroporto";"ROD BR 153,S/N, QUADRAAREA LOTE01, AREA 01,BLOCO 7, FAZENDA BOTA FOGO";"(62) 4006-5353";"";"fernando@congelcontabilidade.com.br";"";"";"14/12/2015";"14/12/2017";"09.075659.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";100;"(Inglês)"
"CLAUDIANA ARAUJO DE ALCANTARA 54845696304";"POUSADA & RESTAURANTE RECANTO DOS PÁSSAROS";"20.602.253/0001-42";"Microempreendedor Individual (MEI)";"";"Mei";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";65570000;"MA";"Araióses";"Araióses";"ILHA DAS CANÁRIAS";"(86) 9977-4411";"";"claudiana.osvaldo@hotmail.com";"";"www.pousadaerestauranterecantodospassaros.com";"02/09/2014";"02/09/2016";"10.065959.15.0001-3";"5590-6/99-DORMITÓRIO; SERVIÇO DE ALOJAMENTO (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário), 5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário)";75;"(""Nenhuma das Opções"")"
"CLAUDIANA SANTOS NASCIMENTO";"RESTAURANTE O BAMBU";"20.256.960/0001-24";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";65590000;"MA";"Barreirinhas";"Barreirinhas";"AV BEIRA RIO 203 CENTRO";"(98) 9851-9493";"";"restauranteacanoa@hotmail.com";"";"";"05/11/2015";"05/11/2017";"10.074804.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";150;"(""Francês,Inglês"")"
"CLAUDINEIA O.DIAS -ME";"RESTAURANTE VERDÃO";"17.556.956/0001-77";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69927000;"AC";"Porto Acre";"CENTRO";"AV.VALE DAS ORQUIDEAS-110-CENTRO";"(68) 9994-1781";"";"claudinhamorena_20@hotmail.com";"";"";"22/02/2016";"22/02/2018";"01.057415.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";80;"(Espanhol)"
"CLEBER KNIESS 07653389988";"SÍTIO COLINA";"13.753.707/0001-10";"Microempreendedor Individual (MEI)";"";"Mei";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";89184000;"SC";"Presidente Nereu";"Presidente Nereu";"ESTM ESTRADA GERAL, S/N, RIO BANDEIRA";"(47) 9907-8609";"";"cloviskniess@gmail.com";"";"";"22/03/2016";"22/03/2018";"24.077520.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5590-6/02-CAMPING; SERVIÇO DE ALOJAMENTO (Secundário)";80;"(Alemão)"
"CLEBESON NUNES DOS SANTOS 84822368220";"BAR FREE GELO - ME";"19.474.088/0001-01";"Microempreendedor Individual (MEI)";"";"Mei";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";68710000;"PA";"Maracanã";"Maracanã";"AV. BERTOLDO COSTA( ORLA MARÍTIMA), S/Nº";"(91) 98855-8602";"";"freegelo.me@gmail.com";"";"";"23/10/2015";"23/10/2017";"14.074520.15.0001-3";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Primário)";10;"(""Nenhuma das Opções"")"
"CLEITO VINICIO INEIA - ME";"CHURRASCARIA, LANCHONETE E LOJA CONVENIENCIA GABRIELLY";"07.735.816/0001-02";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79750000;"MS";"Nova Andradina";"Nova Andradina";"ROD. MANOEL DA COSTA LIMA, S/N - ANEXO - BR 267 - KM 125";"(67) 3499-1555";"";"suporte@agenciagenese.com.br";"";"";"26/12/2014";"26/12/2016";"12.038527.15.0001-4";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";180;"(""Nenhuma das Opções"")"
"CLEMILDES SOARES CABELO - ME";"LANCHONETE E PIZZARIA O CHOPPÃO";"04.588.481/0001-59";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";79130000;"MS";"Rio Brilhante";"Rio Brilhante";"R. DR. JULIO SIQUEIRA MAIA, 952";"(67) 3452-7819";"(67) 3452-7533";"escritorio.dinamico@hotmail.com";"";"";"22/09/2015";"22/09/2017";"12.073670.15.0001-2";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";150;"(""Nenhuma das Opções"")"
"CLEODON JOSÉ DE OLIVEIRA - ME";"CHURRASCARIA CAIPIRA";"03.248.275/0001-37";"Empresário Individual (Não MEI)";"03/11/2005";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78780000;"MT";"Alto Araguaia";"Alto Araguaia";"R. BENJAMIN CONSTANT, 28 PRAÇAS";"(66) 3481-1214";"";"cleodonjoseoliveira@terra.com.br";"";"";"18/07/2014";"18/07/2016";"13.035733.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";120;"(""Nenhuma das Opções"")"
"CLEOLENES  P DE SOUZA - EPP";"LANCHONETE E PIZZARIA QUIBOM";"32.942.369/0001-00";"Empresário Individual (Não MEI)";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78250000;"MT";"Pontes e Lacerda";"Pontes e Lacerda";"RUA VIRGINIA AZAMBUJA, 849, CENTRO";"(65) 3266-1976";"(65) 3266-1676";"cadastro@alfacontabilidade.com.br";"";"";"03/11/2014";"03/11/2016";"13.048111.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";320;"(""Nenhuma das Opções"")"
"CLEONICE SOUZA DE SIQUEIRA 63129558187";"LANCHONETE AVENIDA";"17.647.669/0001-72";"Microempreendedor Individual (MEI)";"";"Mei";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";78820000;"MT";"Jaciara";"Jaciara";"AV: ANTONIO F. SOBRINHO, 1042, CENTRO";"(66) 3461-1127";"";"nice2009181@hotmail.com";"";"";"11/07/2014";"11/07/2016";"13.064736.15.0001-9";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";32;"(""Nenhuma das Opções"")"
"CLEONIS DIAS DA SILVA  - ME";"LANCHONETE E CONVENIENCIA ZERO GRAU";"07.798.042/0001-69";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";78830000;"MT";"Dom Aquino";"Dom Aquino";"AV. PEDRO CELESTINO, 135, CENTRO";"(66) 3451-1522";"";"garcialima.cont@brturbo.com.br";"";"";"27/04/2015";"27/04/2017";"13.070470.15.0001-0";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";150;"(""Nenhuma das Opções"")"
"CLEVERTON CASAGRANDEPOLLI EIRELI - EPP";"RESTAURANTE REAL SABOR";"22.704.204/0001-46";"Empresa Individual (EIRELI)";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78360000;"MT";"Campo Novo do Parecis";"Campo Novo do Parecis";"AV BRASIL 1183, ANEXO SUPERMERCADO REAL";"(65) 3382-6426";"";"cleverton@realcasagrande.com.br";"";"";"31/03/2016";"31/03/2018";"13.077681.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";120;"(""Inglês,Espanhol"")"
"COIMBRA E CARDOSO RESTAURANTE LTDA ME";"D.O.C. FOOD & WINE BAR";"18.563.042/0001-04";"Sociedade Simples";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";71655560;"DF";"Lago Sul";"Setor de Habitações Individuais Sul";"SHIS QI 21 BLOCO B PARTE B";"(61) 2196-4263";"";"restaurantedocdf@gmail.com";"";"restaurantedoc.com.br";"14/07/2015";"14/07/2017";"07.072151.15.0001-3";"5611-2/01-RESTAURANTE COM SERVIÇO COMPLETO
 (Primário)";58;"("""")"
"COMAL LTDA";"FOGÃO MINEIRO";"11.144.945/0001-01";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69907000;"AC";"Rio Branco";"Abrahão Alab";"AV. CEARÁ ,2.721 ""A"" ABRAHÃO ALAB";"(68) 3226-2008";"(68) 9971-0578";"elizaamaral@globo.com";"";"";"02/06/2015";"02/06/2017";"01.052329.15.0001-5";"5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Secundário)";100;"("""")"
"COMBRAY GASTRONOMIA E RESTAURANTE LTDA - ME";"COMBRAY GASTRONOMIA";"19.176.660/0001-56";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";89216200;"SC";"Joinville";"Glória";"RUA QUINZE DE NOVEMBRO, 4315 ";"(47) 3422-0485";"";"giuliano@combray.com.br";"";"www.combray.com.br";"29/06/2016";"29/06/2018";"24.079483.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário), 5620-1/02-SERVIÇOS DE ALIMENTAÇÃO PARA EVENTOS E RECEPÇÕES - BUFÊ (Secundário)";2000;"(Inglês)"
"COMERCIAL JULIFRAN LTDA - ME";"COMERCIAL JULIFRAN";"37.570.181/0001-00";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79700000;"MS";"Fátima do Sul";"Fátima do Sul";"RUA TENENTE ANTÔNIO JOÃO, 1855 - CENTRO";"(67) 3467-3407";"";"joseciro@hotmail.com";"";"";"01/10/2015";"01/10/2017";"12.051532.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";100;"(""Nenhuma das Opções"")"
"COMERCIAL LAGE & FILHOS LTDA";"SUPERMERCADO NOVA AMÉRICA";"04.487.285/0001-98";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";35901029;"MG";"Itabira";"João XXIII";"RUA HUMBERTO CAMPOS, 168";"(31) 3834-9930";"";"roseduartelage@hotmail.com.br";"";"";"22/10/2014";"22/10/2016";"11.067045.15.0001-0";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";40;"(""Nenhuma das Opções"")"
"COMERCIAL MULLER LTDA ME";"SABOR DA VILA";"39.277.058/0001-12";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";29148100;"ES";"Cariacica";"Vila Capixaba";"AV. CARIACICA, 14";"(27) 3343-5140";"(27) 3336-1949";"mulleradm@sabordavila.com.br";"";"";"11/09/2015";"11/09/2017";"08.055701.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";120;"(""Nenhuma das Opções"")"
"COMERCIO DE CALDOS POTIGUAR LTDA - EPP";"POTIGUAR CALDOS";"19.945.143/0001-02";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";70294530;"DF";"Brasília";"Asa Sul";"CLS 215 BLOCO C LOJA 37";"(61) 9693-1666";"";"leopineo@hotmail.com";"";"";"08/10/2014";"08/10/2016";"07.066729.15.0001-0";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Primário)";200;"(Espanhol)"
