"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"LINGUAS";"QUANTIDADE"
AUTO FROTA LOCADORA DE AUTOMOVEIS LTDA EIRELI;AUTO FROTA LOCADORA;"09.620.724/0001-02";Empresa Individual (EIRELI);;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;45.810.000;BA;Porto Seguro;Porto Seguro;RUA DA MANGUEIRA Nº 03. TABAPIRI;(73) 3012-2868;(73) 3012-2868;cnunes88autofrotareservas@gmail.com;;www.autofrotalocadora.com.br;"05.055247.85.0001-6";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Inglês;0
JSTUR LOCADORA DE VEÍCULOS LTDA-ME;JSTUR LOCADORA;"21.090.145/0001-09";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;38.072.510;MG;Uberaba;Amoroso Costa;RUA DJALMA CASTRO ALVES 1534;(34) 3312-8770;;rondineijas10@gmail.com;;;"11.081502.85.0001-7";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Inglês;0
FORTCENTER COMERCIO & REPRESENTAÇÕES DE EMBALAGENS LTDA - ME;FORTCENTER COMERCIO & REPRESENTAÇÕES;"08.178.563/0001-86";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;59.075.000;RN;Natal;Lagoa Nova;AV SENADOR SALGADO FILHO 2190 SALA 215 SHOPPING PORTUGAL;(84) 3206-2695;;fortrn.adm@gmail.com;;;"20.078224.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";;0
"4 BOSS BRASIL COMÉRCIO E LOCAÇÃO DE VEÍCULOS EIRELI";"4 BOSS BRASIL";"24.098.951/0001-03";Empresa Individual (EIRELI);;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;71.608.970;DF;Lago Sul;Setor de Habitações Individuais Sul;AER INTERNACIONAL DE BRASILIA JUSCELINO KUBITSCHEK S/N, EDIF MIDIA ESTRADA PARQUE SETOR HANGARES ;(61) 8269-4900;(61) 8256-2260;lucas@4boss.com.br;hugo@4boss.com.br;;"07.079722.85.0001-3";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 9329-8/99-BARCOS RECREATIVOS; LOCAÇÃO DE (Secundário)";Espanhol ,Inglês;0
DSN LOCACOES LTDA EPP;DSN LOCACOES;"04.080.118/0001-28";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;29.070.010;ES;Vitória;República;AV. ADALBERTO SIMAO NADER;(27) 3145-3409;(27) 3145-3409;tiago.sa@rankingrentacar.com.br;;;"08.075658.85.0001-4";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 7719-5/99-TRAILERS SEM CONDUTOR; LOCAÇÃO DE, ALUGUEL DE (Secundário), 4923-0/02-ALUGUEL DE AUTOMÓVEIS COM MOTORISTA, MUNICIPAL (Secundário)";;0
ORTAN LOCADORA DE VEICULOS LTDA- ME;ORTAN LOCADORA DE VEICULOS;"09.441.602/0001-59";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;28.300.000;RJ;Itaperuna;Itaperuna;RUA PRIMEIRO DE MAIO, 1146;(22) 3824-3153;;tania_olliveira@hotmail.com;;;"19.064948.85.0001-9";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Secundário), 4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Secundário)";Nenhuma das Opções;0
ANGULAR SERVIÇOS E TRANSPORTES EIRELI -ME;ANGULAR TRANSPORTES;"20.411.545/0001-06";Empresa Individual (EIRELI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;49.035.180;SE;Aracaju;Atalaia;R.CEL.JOSE FIGUEIREDO DE ALBUQUERQUE Nº2351 LOJA A;(79) 9994-8230;(79) 3023-8230;transportesangular@gmail.com;;;"25.072572.85.0001-0";"4929-9/01-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL (Primário), 7711-0/00-LOCADORA DE AUTOS (Secundário)";Nenhuma das Opções;0
AJ LOCADORA EIRELI - ME;AJ LOCADORA;"20.363.548/0001-03";Empresa Individual (EIRELI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;36.061.010;MG;Juiz de Fora;Vila Alpina;EURICO VIANA, 1208;(32) 9185-8585;;brunamarangom@gmail.com;;;"11.068640.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 7711-0/00-LOCADORA DE CARROS (Secundário)";Nenhuma das Opções;0
ACESSO LOCADORA LTDA - ME;ACESSO RENT CAR;"04.926.322/0001-17";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;59.063.450;RN;Natal;Lagoa Nova;RUA DOS POTIGUARES - 2420;(84) 3605-7945;"84";netomfreitas@hotmail.com;;www.acessorentacar.com.br;"20.080002.85.0001-4";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
LOCASUL LOCADORA DE VEÍCULOS LTDA - ME;MULLER TUR;"06.279.292/0001-20";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;81.730.410;PR;Curitiba;Boqueirão;RUA DOUTOR SIMÃO KOSSOBUDSKI, 1369;(41) 3382-3671;(41) 9994-2810;mullertur@yahoo.com.br;;;"18.060651.85.0001-8";"4929-9/01-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL (Primário), 4929-9/02-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS. SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL (Secundário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
LITORAL LOCAÇÕES E SERVIÇOS LTDA;LITORAL LOCAÇÕES E SERVIÇOS;"14.461.454/0001-74";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;59.585.000;RN;São Miguel do Gostoso;SÃO MIGUEL DO GOSTOSO;RUA DAS OSTRAS, 75;(84) 99915-9712;;litoralgostoso@gmail.com;;;"20.059696.85.0001-3";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
PONTUAL LOC CAR LTDA - ME;PONTUAL RENT CAR;"12.305.622/0001-07";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;30.411.174;MG;Belo Horizonte;Prado;AV. FRANCISCO SÁ, 580;(31) 2514-0201;;pontual@pontualrentcar.com.br;;;"11.054919.85.0001-9";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
ACESSIVEL LOCADORA EXECUTIVE LTDA - ME;ACESSIVEL LOCADORA;"04.472.383/0001-51";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;9.360.620;SP;Mauá;Jardim Anchieta;R DIRCEU DE SOUZA, 68 A;(11) 4513-2907;;contato@vanuniversitaria.com.br;;;"26.072752.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Secundário)";Nenhuma das Opções;0
ALIANCA LOCADORA DE AUTOMOVEIS EIRELI;ALIANCA RENT A CAR;"15.807.082/0001-58";Empresa Individual (EIRELI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;78.090.424;MT;Cuiabá;Residencial Coxipó;RUA TRINTA E UM, 72, QUADRA 63, RESIDENCIAL AMETISTA;(65) 9602-4002;;repcom42@hotmail.com;;;"13.076735.85.0001-1";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Inglês;0
CORAZZA MARTINS & CIA LTDA - ME;CORAZZA MARTINS;"13.146.517/0001-35";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;98.005.030;RS;Cruz Alta;Centro;R BARÃO DO RIO BRANCO, 779 SALA 2;(55) 3322-0010;;brunagrupo2001@gmail.com;;;"23.078078.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
INFINITY LOCADORA DE VEÍCULOS E LOGISTICA LTDA - ME;INFINITY EXPRESS;"18.210.855/0001-02";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;27.964.100;RJ;Macaé;Parque Aeroporto;RUA JOSÉ ALCENCAR CORREIA DE MELO, S/N° - QD/LOTE 6/0002;(21) 2281-2424;(22) 3084-7600;financeiro@infinitytrasporte.com.br;;;"19.074362.85.0001-9";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Inglês;0
EXCLUSIVA LOCADORA DE VEICULOS LTDA - ME;EXCLUSIVA AUTO LOCADORA;"02.041.055/0001-75";Sociedade Simples;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;95.700.000;RS;Bento Gonçalves;Bento Gonçalves;AV PLANALTO 1142   BAIRRO SAO BENTO;(54) 3451-2990;;valmor@exclusivalocadora.com.br;;;"23.078144.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Inglês;0
MIRANTE LOCADORA LTDA - ME;MIRANTE LOCADORA;"10.669.508/0001-30";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;64.051.120;PI;Teresina;São Cristóvão;AV.VILMARY Nº 2417;(86) 3305-6160;;fernando_arruda@hotmail.com;;;"17.076314.85.0001-7";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";;0
TITO WANDER GUSMÃO - ME;GUINHO LOCAÇÕES  E TRANSPORTES;"14.670.124/0001-99";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;71.710.570;DF;Núcleo Bandeirante;Núcleo Bandeirante; TERCEIRA AVENIDA MERCADO DO NUCLEO S/N BOX 181;(61) 9983-5798;(61) 3552-0587;titowander@gmail.com;;;"07.046869.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Espanhol ,Inglês;0
MC SERVIÇOS LTDA;LOCALIZA RENT A CAR E/OU NATIONAL CAR RENTAL;"25.084.906/0001-62";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;77.015.036;TO;Palmas;Plano Diretor Sul;QUADRA 103 SUL, AV. LO 03, Nº 107;(63) 3223-8712;(63) 99994-9555;cleide@sistemalocaliza.com;marcela.guide@sistemalocaliza.com;;"27.052270.85.0001-6";"7711-0/00-LOCADORA DE AUTOS (Primário)";Inglês;0
MAZUAD AUTO LOCADORA E LOGISTICA LTDA - ME;MAZUAD AUTOLOCADORA;"09.192.288/0001-18";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;64.018.903;PI;Teresina;Macaúba;RUA ARLINDO NOGUEIRA Nº2696;(86) 3218-2546;;mazuad_logistica@hotmail.com;;;"17.079054.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
STEEL EMPREENDIMENTOS E SERVIÇOS TÉCNICOS EIRELI - ME;STEEL EMPREENDIMENTOS E SERVIÇOS ;"08.787.408/0001-67";Empresa Individual (EIRELI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;59.068.050;RN;Natal;Pitimbu;RUA SERRA DAS ARARAS,  8111 ;(84) 3206-9824;(84) 3206-9824;steelltda@hotmail.com;;;"20.077453.85.0001-3";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Inglês;0
DRAGÃO DO MAR TURISMO, EVENTOS E SERVIÇOS LTDA.;DRAGÃO DO MAR;"02.487.307/0001-94";Empresa Individual (EIRELI);"23/12/1998";Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;60.115.000;CE;Fortaleza;Meireles;RUA IDELFONSO ALBANO, Nº 1580                        ;(85) 3099-0176;;diretoria@ageturismo.com.br;;;"06.015543.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";;0
A. M. DA S. GURGEL SERVICE EIRELI - ME;AGM SERVICE;"21.709.172/0001-09";Empresa Individual (EIRELI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;59.153.040;RN;Parnamirim;Nova Parnamirim;R TENENTE VITOR LOURENCO BERNARDES, Nº 42;(84) 98620-7812;;agm_service@yahoo.com;;;"20.083120.85.0001-1";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";;0
WES RENK LOCADORA LTDA;WES RENK LOCADORA;"11.164.180/0001-63";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;21.660.300;RJ;Rio de Janeiro;Guadalupe;RUA CLODOALDO FREITAS, N° 732;(21) 2232-2790;(21) 3107-0435;wesuans@yahoo.com.br;;;"19.074952.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
JOSE EVANGELISTA CAL - ME;JUCAL TURISMO;"24.003.790/0001-27";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;36.555.000;MG;Ervália;Ervália;RUA ONOFRE CANDIDO REZENDE, 271;(32) 3554-1268;(32) 8417-8444;jucalturismo@yahoo.com.br;;;"11.070924.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
LS LOCAÇÃO , TURISMO,CORMECIO E SERVIÇOS EIRELI-ME;LS LOCAÇÃO E TURISMO ;"22.225.112/0001-83";Empresa Individual (EIRELI);;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;28.055.050;RJ;Campos dos Goytacazes;Parque Corrientes;RUA AFONSO PEREIRA CALDAS N 80LOJA 2 ;(22) 99841-6830;(22) 3052-8532;imslocadora@hotmail.com;;;"19.075221.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Secundário)";Inglês;0
ANDRISA FRETAMENTO E TURISMO LTDA - ME;ANDRISA;"08.100.305/0001-87";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;13.308.451;SP;Itu;Jardim Europa;R ISABEL CHANDECO DE SOUZA, N°171;(11) 99996-6229;;camila@gisacontabilidade.com.br;;;"26.078487.85.0001-7";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Secundário)";Nenhuma das Opções;0
LH BALZANELLI LOCADORA DE VEICULOS LTDA - ME;LHB TRANSPORTES;"13.085.335/0001-00";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;19.010.062;SP;Presidente Prudente;Vila Nova;RUA SIQUEIRA CAMPOS, 1023;(18) 3221-0527;;lhbtransportes@hotmail.com;;www.lhbtransportes.com.br;"26.073428.85.0001-3";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Secundário)";Inglês;0
R A DE SOUSA CONSTRUTORA - ME;CONSTRUTORA LÍDER;"23.865.623/0001-22";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;62.930.000;CE;Limoeiro do Norte;Limoeiro do Norte;"RUA PADRE VICENTE, 753 - SALA ""C"" - CENTRO";(88) 99776-4882;;construtoraliderturismo@hotmail.com;;www.construtoralider.com;"06.076935.85.0001-7";"4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Primário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário), 8230-0/01-SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS (Secundário)";Nenhuma das Opções;0
ALVES E QUEIROZ LOCAÇÃO LTDA - ME;MP LOCAÇÃO;"07.239.537/0001-58";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;17.539.000;SP;Lácio;Lácio;AVENIDA BRASIL, 71 - CASA A;(14) 99612-1319;;amandaqueirozx@gmail.com;;;"26.079447.85.0001-6";"7719-5/99-TRAILERS SEM CONDUTOR; LOCAÇÃO DE, ALUGUEL DE (Primário)";Nenhuma das Opções;0
H R DE PANIAGUA JUNIOR - ME;MAX S II;"18.337.473/0001-44";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;79.240.000;MS;Jardim;Jardim;AV. DUQUE DE CAXIAS, 1960 - SALA 01;(67) 3251-2147;(67) 3251-2147;heitorpaniagua@hotmail.com;;http://www.shopcar.com.br/busca.htmloja820;"12.056497.85.0001-9";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
CAMPOS SERVIÇOS E GERENCIAMENTO DE TRANSPORTE LTDA - ME;EXECUTIVE DRIVE SERVICE;"18.598.050/0001-88";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;20.766.720;RJ;Rio de Janeiro;Inhaúma;ESTRADA ADHEMAR BEBIANO Nº 3206, LOJA A PARTE;(21) 3276-2992;;executivedriveservice@gmail.com;;;"19.068939.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Espanhol ,Inglês;0
LOCADORA L & L LTDA-EPP;NOMINAL LOCADORA DE VEÍCULOS;"03.124.314/0001-94";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;68.040.030;PA;Santarém;Aldeia;AV. RUI BARBOSA, 2089.;(93) 3522-3607;;nominall@hotmail.com;;;"14.077713.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
PONTUAL VAN LOCADORA LTDA - ME;PONTUAL VAN LOCADORA LTDA - ME;"15.329.894/0001-35";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;15.035.120;SP;São José do Rio Preto;Vila Itália;R CARLOS CECCATO, N°: 104;(11) 3121-9339;;betogasques@hotmail.com;;www.pontualvan.com.br;"26.072542.85.0001-3";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
CLARABIA LOCADORA DE VEICULOS LTDA;CLARABIA LOCADORA DE VEICULOS;"07.919.812/0001-84";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;21.330.570;RJ;Rio de Janeiro;Vila Valqueire;PRAÇA DO VALQUEIRE 23/ 201;(21) 2453-8942;(21) 2490-1701;luiz@clarabia.com.br;macedol@uol.com.br;clarabia.com.br;"19.068501.85.0001-9";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Inglês;0
GOLDEN GARDEN LOCADORA E TRANSPORTES LTDA - ME;GOLDEN GARDEN;"17.309.344/0001-80";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;70.740.556;DF;Brasília;Asa Norte;ST SHCGN CL QD. 708 BLOCO F LOJA 30 PARTE A ;(61) 32444-0996;(61) 3443-7114;golberyvarvalho@gmail.com;;www.goldeneventos.com.br;"07.061914.85.0001-2";"4929-9/02-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS. SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL (Secundário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Espanhol ,Francês ,Inglês;0
LOCAVE-LOCADORA DE VEICULOS LTDA;LOCAVE;"03.447.439/0001-55";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;58.045.000;PB;João Pessoa;Cabo Branco;AV EPITACIO PESSOA 3734;(83) 3247-2627;;locave.ltda@hotmail.com;;;"15.040036.85.0001-6";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;1
P B SERVIÇOS LTDA.;P B SERVIÇOS;"05.607.850/0001-76";Sociedade Empresária;"24/04/2003";Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;57.030.570;AL;Maceió;Ponta da Terra;RUA QUINTINO BOCAIÚVA, 129;(82) 3327-1941;(82) 3327-1941;pbservicos@hotmail.com;;;"02.032281.85.0001-1";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Secundário)";Espanhol ,Inglês;0
MARIA DO CARMO DEF.S BERTASSI - LOCACOES - ME;MARITUR;"08.234.199/0001-24";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;13.390.000;SP;Rio das Pedras;Rio das Pedras;RUA MARIO PETRINI, 237;(19) 3493-3076;;marcelobertassi@yahoo.com.br;;;"26.076459.85.0001-3";"7711-0/00-LOCADORA DE AUTOS (Secundário)";;0
AGILTRANS LOCAÇÃO DE AUTOMÓVEIS E TRANSPORTES LTDA - ME;AGILTRANS;"18.793.942/0001-30";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;11.025.180;SP;Santos;Aparecida;RUA SENADOR LACERDA FRANCO, 179 SALA 21;(13) 3231-1660;;agiltrans@outlook.com;;;"26.060344.85.0001-4";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
MAYCON SOUZA PEREIRA - ME;JR LOCADORA;"10.645.408/0001-74";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;29.046.100;ES;Vitória;Morro da Gurigica;RUA CABO PARAÍBA, 127;(27) 3215-0322;;jomarpousoalto@hotmail.com;;;"08.053702.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário), 4923-0/02-ALUGUEL DE AUTOMÓVEIS COM MOTORISTA, MUNICIPAL (Secundário)";Nenhuma das Opções;0
COSTA DO SOL TRANSPORTES E SERVIÇOS LTDA - ME;COSTA DO SOL TRANSPORTES E TURISMO;"14.093.428/0001-30";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;62.660.000;CE;Umirim;Umirim;RUA MAJOR ADELINO, 48 - CENTRO;(85) 3034-2620;;costadosoltransportes@hotmail.com;;;"06.054917.85.0001-2";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Espanhol;0
OLIVEIRA E RUIZ LOCAÇÕES LTDA ME;OLIVEIRA E RUIZ LOCAÇÕES;"14.922.481/0001-05";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;37.653.000;MG;Monte Verde;Monte Verde;AV. MONTE VERDE, 915 C;(35) 3438-1558;;rodrigocktur@hotmail.com;;;"11.052418.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Inglês;0
LIDER VAN DE VOLTA REDONDALOCADORA DE VEÍCULOS LTDA ME;LIDER VAN;"04.480.944/0001-64";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;27.281.530;RJ;Volta Redonda;Vila Mury;RUA BRAGANÇA, 71, APT 101 COND B;(24) 3346-7115;;departamento-alvara@hotmail.com;;;"19.063005.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 7911-2/00-TURISMO; AGÊNCIA DE (Secundário)";Nenhuma das Opções;0
EDINA PADILHA DE MEDEIROS - ME;AMADOR TRANSPORTES;"19.558.612/0001-22";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;79.290.000;MS;Bonito;Bonito;R. ATILIO FERNANDES MONTEIRO, 350;(67) 8423-4690;(67) 8423-4691;alternativa_contabilidade@hotmail.com;;;"12.061266.85.0001-2";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Espanhol;0
ELIDIO RANHA TRANSPORTES - ME;RR TRANSPORTES ;"02.497.348/0001-61";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;9.400.320;SP;Ribeirão Pires;Centro;AV FORTUNA, 337;(11) 4828-3731;;rrtransportes@uol.com.br;;;"26.071070.85.0001-6";"4929-9/02-ALUGUEL DE AUTOMÓVEIS COM CONDUTOR, INTERMUNICIPAL, INTERESTADUAL, INTERNACIONAL (Secundário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
TUKTOUR TURISMO LTDA - ME;TUKTOUR ;"22.365.698/0001-81";Sociedade Simples;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;30.190.000;MG;Belo Horizonte;Centro;AV AUGUSTO DE LIMA, 479, SALA 1908;(31) 3118-2525;;nelson@tuktour.com.br;;;"11.070989.85.0001-2";"7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Primário), 7719-5/99-MOTOCICLETAS; LOCAÇÃO DE, ALUGUEL DE (Secundário), 7912-1/00-OPERADORES TURÍSTICOS (Secundário)";Nenhuma das Opções;0
CARDOM PROJETOS, CONSULTORIA, ENGENHARIA E LOCAÇÕES LTDA - EPP;CARDOM PROJETOS, CONSULTORIA, ENGENHARIA E LOCAÇÕES LTDA - EPP;"05.337.203/0001-91";Sociedade Simples;;Empresa de Médio ou Grande Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;11.320.001;SP;São Vicente;Itararé;AV. PRESIDENTE WILSON, 1147 - CONJ. 202;(13) 3468-5087;(13) 3468-2446;flavia@dofer.com.br;carballido@dofer.com.br;;"26.063605.85.0001-6";"7711-0/00-LOCADORA DE CARROS (Secundário)";Espanhol ,Inglês;0
VANDER LOCADORA DE VEICULOS DE AREAL LTDA ME;VANDER LOCADORA DE VEICULOS;"19.039.052/0001-08";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;25.845.000;RJ;Areal;Areal;RUA JOÃO THOMAZ DO NASCIMENTO, Nº 216 B, PORTOES;(24) 2257-3013;;vanderlocadoraareal@hotmail.com;;;"19.069895.85.0001-6";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4929-9/4-ORGANIZAÇÃO DE EXCURSÕES EM VEÍCULOS RODOVIÁRIOS PRÓPRIOS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL (Secundário)";Nenhuma das Opções;0
