"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"ÁREA TOTAL DO ESTABELECIMENTO";"AMBIENTAÇÃO";"VOLUME DE ÁGUA";"LINGUAS";"SEGMENTOS TURISTICOS";"SERVIÇOS"
M.F.J. M PEREIRA - ME;BALNEÁRIO JARINAL;"06.060.554/0001-60";Empresa Individual (EIRELI);;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Empreendimento de Entretenimento e Lazer;69.932.000;AC;Brasiléia;Brasiléia;BR 317- KM.05 - RAMAL DA ALEGRIA DO CARMEM, 2210 - JARINAL;(68) 9904-5127;;jarinal@hotmail.com;;;"01.065642.65.0001-1";"5510-8/01-HOTEL (Primário), 9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Secundário), 5611-2/01-SELF-SERVICE; SERVIÇO DE ALIMENTAÇÃO (Secundário)";1.000;;1.000;Nenhuma das Opções;;
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS LTDA;"04.933.060/0001-18";Sociedade Empresária;"24/04/2002";Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;5.038.120;SP;São Paulo;Parque Residencial da Lapa;RUA PROFESSOR CLEMENTE PASTORE, 52;(11) 2244-6321;(11) 2244-6272;claudia.paiva@playcenter.com.br;;;"26.010957.65.0001-0";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário), 9329-8/04-EXPLORAÇÃO DE JOGOS ELETRÔNICOS RECREATIVOS (Secundário)";1.998;;0;Inglês;;
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS LTDA;"04.933.060/0005-41";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;4.661.200;SP;São Paulo;Jardim Umuarama;AV INTERLAGOS, 2255;(11) 2244-6321;(11) 2244-6272;claudia.paiva@playcenter.com.br;;;"26.010950.65.0005-9";"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";1.389;;0;Inglês;;
PLAY ONE EMPREENDIMENTOS  LTDA;PLAY ONE EMPREENDIMENTOS  LTDA;"04.933.060/0012-70";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;6.020.010;SP;Osasco;Vila Yara;A V DOS AUTONOMISTAS, N°: 1400: ANCORA G - NIVEL AUTONOMISTAS ;(11) 2244-6321;(11) 2244-6272;claudia.paiva@playcenter.com.br;;;"26.010954.65.0012-4";"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Secundário)";1.739;;0;Inglês;;
PARQUE HANDARA EIRELI - ME;PARQUE HANDARA;"23.650.365/0001-67";Empresa Individual (EIRELI);;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;62.766.000;CE;Guaramiranga;Guaramiranga;SITIO MONTE FLOR, Nº 530, ZONA RURAL;(85) 3321-1121;;marcelodecastro@innovacontabilidade.com;;;"06.076055.65.0001-4";"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";94.508;;0;Nenhuma das Opções;;
DISTRIBUIDORA EXPORTADORA E IMPORTADORA HALLEY LTDA - EPP;DISTRIBUIDORA EXPORTADORA E IMPORTADORA HALLEY;"01.249.796/0004-26";Sociedade Empresária;;Empresa de Pequeno Porte;Em Implantação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;79.301.970;MS;Corumbá;Centro;FAZ. IRACEMA, SN, 12 KM DA ESTAÇAO DE MARIA COELHO;(67) 3231-5487;;chavesiracema@gmail.com;;;"12.075272.65.0004-7";"9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Primário)";20.000;;500.000;Espanhol ,Inglês;;
OLEGÁRIO & SANTOS LTDA - ME;ESTÂNCIA LORINHO;"19.139.485/0001-27";Sociedade Empresária;;Microempresa;Em Implantação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;;79.760.000;MS;Bataiporã;Bataiporã;RODOVIA MS-276 - S/N - KM 02 - ZONA RURAL - ESTÂNCIA LORINHO;(67) 9915-7864;(67) 3441-4665;administrativo@agenciagenese.com.br;;;"12.062025.65.0001-7";"9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Primário)";;;;;;
WILDERLANE DE FREITAS OLIVEIRA-ME;ARENA-JOGOS E DIVERSÃO;"22.774.331/0001-11";Empresário Individual (Não MEI);;Microempresa;Em Implantação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;58.200.000;PB;Guarabira;Guarabira;RUA OTACILIO LIRA CABRAL, 1300, BAIRRO AREIA BRANCA;(83) 99148-1020;;arnoudneto@guaraves.com.br;;;"15.073238.65.0001-0";"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";198;;0;Nenhuma das Opções;;
OLEGÁRIO & SANTOS LTDA - ME;ESTÂNCIA LORINHO;"19.139.485/0001-27";Sociedade Empresária;;Microempresa;Em Implantação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;;79.760.000;MS;Bataiporã;Bataiporã;RODOVIA MS-276 - S/N - KM 02 - ZONA RURAL - ESTÂNCIA LORINHO;(67) 9915-7864;(67) 3441-4665;administrativo@agenciagenese.com.br;;;"12.062026.65.0001-4";"9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Primário)";;;;;;
EMPREENDIMENTOS TURISTICOS ACQUA PARK LTDA-ME;LINHARES BEACH ACQUA PARK;"20.431.513/0001-64";Sociedade Empresária;;Empresa de Pequeno Porte;Em Implantação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;;29.901.630;ES;Linhares;Shell;AV SAO MATEUS, 1780, ARAÇÁ;(27) 3371-0407;;linharesbeach1@gmail.com;;;"08.068499.65.0001-0";"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";;;;;;
INCRIVEL DIVERSAO E BRINQUEDOS LTDA;CASA X;"20.867.679/0001-28";Sociedade Empresária;;Microempresa;Em Implantação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;;74.230.035;GO;Goiânia;Setor Bueno;AVENIDA T4 NUM 1478 QD 169A LOTE 01E;(62) 8115-8839;;dlayunta@gmail.com;;;"09.069201.65.0001-0";"7721-7/00-MATERIAIS E EQUIPAMENTOS ESPORTIVOS; ALUGUEL DE, LOCAÇÃO DE (Secundário), 9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Secundário)";;;;;;
